SatirNo;Asama;Urun;Adet;ToplamTL;Tedarikci;URL
S1;SONRA;TTGO T-Beam V1.2 LoRa 868 gateway;1;2954.98;Direnc.net;https://www.direnc.net/ttgo-t-beam-v11-esp32-lora-sx1262-wifi-bluetooth-868mhz-gnss-neo-6m-gps-gelistirme-modulu
S2;SONRA;A7670E 4G LTE GPS modul;1;1887.27;Direnc.net;https://www.direnc.net/a7670e-gsm-gps-modulu-ve-ltegnss-anten
S3;SONRA;6V 500mA gunes paneli GATE;1;632.36;Robotistan;https://www.robotistan.com/6v-500ma-solar-panel-gunes-pili
S4;SONRA;Orion 18650 3200mAh;2;365.40;Robotistan;https://www.robotistan.com/orion-18650-3-7v-3200mah-2c-liion-sarjli-pil-kutup-bassiz
S5;SONRA;2S 5A BMS koruma;1;43.20;Robiz;https://robiz.net/2s5abms
S6;SONRA;18650 cift pil yuvasi;1;52.80;Robiz;https://robiz.net
S7;SONRA;Proje kutusu 150x100x50mm;1;86.40;Robiz;https://robiz.net/plastics
